TABLE_NAME,COLUMN_NAME,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
DAO_FDL_ROLLUP.CREDENTIAL_SERVICE,CREDENTIAL_ID,DAO_FDL_ROLLUP.CREDENTIALS,CREDENTIAL_ID
DAO_FDL_ROLLUP.CREDENTIAL_SERVICE,SERVICE_ID,DAO_FDL_ROLLUP.SERVICES,SERVICE_ID
UFD_GOLF.CROSSDOCK,STATUS_CODE,UFD_GOLF.CROSSDOCK_STATUS_CODE,STATUS_CODE
UFD_GOLF.CUSTOMER_PO_DTL,CUSTOMER_PO_REF,UFD_GOLF.CUSTOMER_PO_HDR,CUSTOMER_PO_REF
SYS.DAM_CONFIG_PARAM$,PARAM_ID,SYS.DAM_PARAM_TAB$,PARAMETER#
GSMADMIN_INTERNAL.DATABASE,CONTAINER,GSMADMIN_INTERNAL.CONTAINER_DATABASE,NAME
GSMADMIN_INTERNAL.DATABASE,DRSET_NUMBER,GSMADMIN_INTERNAL.BROKER_CONFIGS,DRSET_NUMBER
GSMADMIN_INTERNAL.DATABASE,HOSTID,GSMADMIN_INTERNAL.VNCR,HOSTID
GSMADMIN_INTERNAL.DATABASE,POOL_NAME,GSMADMIN_INTERNAL.DATABASE_POOL,NAME
GSMADMIN_INTERNAL.DATABASE,REGION_NUM,GSMADMIN_INTERNAL.REGION,NUM
GSMADMIN_INTERNAL.DATABASE,SHARDGROUP_ID,GSMADMIN_INTERNAL.SHARD_GROUP,SHARDGROUP_ID
GSMADMIN_INTERNAL.DATABASE,SHARDSPACE_ID,GSMADMIN_INTERNAL.SHARD_SPACE,SHARDSPACE_ID
GSMADMIN_INTERNAL.DATABASE_POOL_ADMIN,POOL_NAME,GSMADMIN_INTERNAL.DATABASE_POOL,NAME
DAO_FDL_MINTEL.DATA_SET,DASHBOARD_ID,DAO_FDL_MINTEL.OBJECT,OBJECT_ID
SYS.DBFS$_MOUNTS,S_NAME,SYS.DBFS$_STORES,S_NAME
SYS.DBFS$_MOUNTS,S_NAME,SYS.DBFS$_STORES,S_OWNER
SYS.DBFS$_MOUNTS,S_OWNER,SYS.DBFS$_STORES,S_OWNER
SYS.DBFS$_MOUNTS,S_OWNER,SYS.DBFS$_STORES,S_NAME
SYS.DBFS_SFS$_FS,TABID,SYS.DBFS_SFS$_VOL,VOLID
SYS.DBFS_SFS$_FS,TABID,SYS.DBFS_SFS$_VOL,TABID
SYS.DBFS_SFS$_FS,VOLID,SYS.DBFS_SFS$_VOL,TABID
SYS.DBFS_SFS$_FS,VOLID,SYS.DBFS_SFS$_VOL,VOLID
SYS.DBFS_SFS$_FSTP,CSNAP#,SYS.DBFS_SFS$_FST,CSNAP#
SYS.DBFS_SFS$_FSTP,CSNAP#,SYS.DBFS_SFS$_FST,STD_GUID
SYS.DBFS_SFS$_FSTP,CSNAP#,SYS.DBFS_SFS$_FST,VOLID
SYS.DBFS_SFS$_FSTP,STD_GUID,SYS.DBFS_SFS$_FST,STD_GUID
SYS.DBFS_SFS$_FSTP,STD_GUID,SYS.DBFS_SFS$_FST,CSNAP#
SYS.DBFS_SFS$_FSTP,STD_GUID,SYS.DBFS_SFS$_FST,VOLID
SYS.DBFS_SFS$_FSTP,VOLID,SYS.DBFS_SFS$_FST,CSNAP#
SYS.DBFS_SFS$_FSTP,VOLID,SYS.DBFS_SFS$_FST,STD_GUID
SYS.DBFS_SFS$_FSTP,VOLID,SYS.DBFS_SFS$_FST,VOLID
SYS.DBFS_SFS$_SNAP,TABID,SYS.DBFS_SFS$_VOL,VOLID
SYS.DBFS_SFS$_SNAP,TABID,SYS.DBFS_SFS$_VOL,TABID
SYS.DBFS_SFS$_SNAP,VOLID,SYS.DBFS_SFS$_VOL,TABID
SYS.DBFS_SFS$_SNAP,VOLID,SYS.DBFS_SFS$_VOL,VOLID
SYS.DBFS_SFS$_VOL,TABID,SYS.DBFS_SFS$_TAB,TABID
SYS.DBMS_PARALLEL_EXECUTE_CHUNKS$,TASK_NAME,SYS.DBMS_PARALLEL_EXECUTE_TASK$,TASK_NAME
SYS.DBMS_PARALLEL_EXECUTE_CHUNKS$,TASK_NAME,SYS.DBMS_PARALLEL_EXECUTE_TASK$,TASK_OWNER#
SYS.DBMS_PARALLEL_EXECUTE_CHUNKS$,TASK_OWNER#,SYS.DBMS_PARALLEL_EXECUTE_TASK$,TASK_NAME
SYS.DBMS_PARALLEL_EXECUTE_CHUNKS$,TASK_OWNER#,SYS.DBMS_PARALLEL_EXECUTE_TASK$,TASK_OWNER#
SYS.DBMS_SQLPATCH_FILES,PATCH_ID,SYS.DBMS_SQLPATCH_STATE,S_CURRENT_PATCH_UID
SYS.DBMS_SQLPATCH_FILES,PATCH_ID,SYS.DBMS_SQLPATCH_STATE,S_CURRENT_PATCH_ID
SYS.DBMS_SQLPATCH_FILES,PATCH_UID,SYS.DBMS_SQLPATCH_STATE,S_CURRENT_PATCH_UID
SYS.DBMS_SQLPATCH_FILES,PATCH_UID,SYS.DBMS_SQLPATCH_STATE,S_CURRENT_PATCH_ID
UFD_BASE.DELL_BLANKET_PO,VENDOR_ID,UFD_BASE.VENDOR,VENDOR_ID
FDL_CORP.DEVICE,DEVICE_TYPE_ID,FDL_CORP.DEVICE_TYPE,DEVICE_TYPE_ID
UFD_FIL.DG_SHIPTO_RULES,CLASSIFY_RULE_ID,UFD_FIL.DG_CLASSIFY_RULES,CLASSIFY_RULE_ID
UFD_FIL.DG_WO_SHIPUNIT_DTL,SP_REQUEST_ID,UFD_FIL.DG_WO_INFO,SP_REQUEST_ID
UFD_FIL.DG_WO_SHIPUNIT_DTL,SP_REQUEST_ID,UFD_FIL.DG_WO_INFO,WO_ID
UFD_FIL.DG_WO_SHIPUNIT_DTL,WO_ID,UFD_FIL.DG_WO_INFO,WO_ID
UFD_FIL.DG_WO_SHIPUNIT_DTL,WO_ID,UFD_FIL.DG_WO_INFO,SP_REQUEST_ID
UFD_BASE.DISTRIBUTOR,ADDRESS_ID,UFD_BASE.ADDRESS,ADDRESS_ID
UFD_FSL.DT_FGA_ORDER_COMPONENT,ORDER_MOD_REF,UFD_FSL.DT_FGA_ORDER_ASSEMBLY,ORDER_MOD_REF
DAO_FDL_E2.E2_SHIPMENT_DETAILS,SHIPMENT_HEADER_REF,DAO_FDL_E2.E2_SHIPMENT_HEADER,SHIPMENT_HEADER_REF
FDL_CORP.FACILITY,FACILITY_TYPE_CODE_ID,FDL_CORP.FACILITY_TYPE,FACILITY_TYPE_CODE_ID
FDL_CORP.FACILITY,MFG_LOCATION_ID,FDL_CORP.MFG_LOCATION,MFG_LOCATION_ID
UFD_ORS.FACILITY_PRIORITY,ISG_PRODUCT_ID,UFD_ORS.ISG_PRODUCT,ISG_PRODUCT_ID
UFD_ORS.FACILITY_PRIORITY,PRODUCT_FACILITY_ID,UFD_ORS.PRODUCT_FACILITY,PRODUCT_FACILITY_ID
UFD_ORS.FGA_ORDER_ASSEMBLY,LINE_SKU_REF,UFD_ORS.FGA_LINE_SKU,LINE_SKU_REF
UFD_FDL.FGA_ORDER_ATTRIBUTE,ATTRIBUTE_NAME,UFD_FDL.FGA_ATTRIBUTE_MASTER,ATTRIBUTE_NAME
UFD_ORS.FGA_ORDER_COMPONENT,ORDER_MOD_REF,UFD_ORS.FGA_ORDER_ASSEMBLY,ORDER_MOD_REF
UFD_FDL.FGA_STOCK_ORDER_BOM_DTL,FGA_ORD_SVC_REF,UFD_FDL.FGA_STOCK_ORDER_SVC_HDR,FGA_ORD_SVC_REF
UFD_BASE.FGA_WO_MAKE_MAN_DTL,BOX_DTL_REF,UFD_BASE.WO_SHIPMENT_BOX_DTL,BOX_DTL_REF
UFD_BASE.FGA_WO_MAKE_MAN_DTL,ORDER_PART_REF,UFD_BASE.FGA_ORDER_COMPONENT,ORDER_PART_REF
UFD_BASE.FGA_WO_MAKE_PART,ORDER_PART_REF,UFD_BASE.FGA_ORDER_COMPONENT,ORDER_PART_REF
UFD_BASE.FGA_WO_MAKE_PART,WO_ID,UFD_BASE.WORK_ORDER_LINE,WO_ID
UFD_BASE.FGA_WO_MAKE_PART,WO_ID,UFD_BASE.WORK_ORDER_LINE,WO_LINE_NUM
UFD_BASE.FGA_WO_MAKE_PART,WO_LINE_NUM,UFD_BASE.WORK_ORDER_LINE,WO_LINE_NUM
UFD_BASE.FGA_WO_MAKE_PART,WO_LINE_NUM,UFD_BASE.WORK_ORDER_LINE,WO_ID
UFD_BASE.FG_INV,SR_ID,UFD_BASE.STOCKROOM,SR_ID
UFD_BASE.FG_INV_DTL,FG_PART_NUM,UFD_BASE.FG_INV,FG_PART_NUM
UFD_BASE.FG_INV_DTL,FG_PART_NUM,UFD_BASE.FG_INV,FG_STOCKROOM
UFD_BASE.FG_INV_DTL,FG_STOCKROOM,UFD_BASE.FG_INV,FG_STOCKROOM
UFD_BASE.FG_INV_DTL,FG_STOCKROOM,UFD_BASE.FG_INV,FG_PART_NUM
UFD_BASE.FG_INV_DTL,SERVICE_TAG,UFD_BASE.SERVICE_TAG_AUDIT,SERVICE_TAG
UFD_ORS.FIELD_VALUE,FIELD_ID,UFD_ORS.OFR_CONDITION_FIELD,FIELD_ID
GSMADMIN_INTERNAL.FILES,POOL_NAME,GSMADMIN_INTERNAL.DATABASE_POOL,NAME
UFD_BASE.FULFILLMENT_PO_ATTRIBUTES,FPO_REF,UFD_BASE.FULFILLMENT_PURCHASE_ORDER,FPO_REF
UFD_BASE.FULFILLMENT_PO_CONTACT,ADDRESS_ID,UFD_BASE.ADDRESS,ADDRESS_ID
UFD_BASE.FULFILLMENT_PO_CONTACT,FPO_REF,UFD_BASE.FULFILLMENT_PURCHASE_ORDER,FPO_REF
UFD_BASE.FULFILLMENT_PO_HOLD_EVENT,FPO_REF,UFD_BASE.FULFILLMENT_PURCHASE_ORDER,FPO_REF
UFD_BASE.FULFILLMENT_PO_LINE,FPO_REF,UFD_BASE.FULFILLMENT_PURCHASE_ORDER,FPO_REF
UFD_BASE.FULFILLMENT_PO_LINE_ATTRIBS,FPO_LINE_REF,UFD_BASE.FULFILLMENT_PO_LINE,FPO_LINE_REF
UFD_BASE.FULFILLMENT_PO_LINE_CONFIG,FPOH_LINE_REF,UFD_BASE.FULFILLMENT_PO_LINE_HIERARCHY,FPOH_LINE_REF
UFD_BASE.FULFILLMENT_PO_LINE_HIERARCHY,FPO_LINE_REF,UFD_BASE.FULFILLMENT_PO_LINE,FPO_LINE_REF
UFD_BASE.FULFILLMENT_PO_LINE_HIERARCHY,FPO_REF,UFD_BASE.FULFILLMENT_PURCHASE_ORDER,FPO_REF
UFD_BASE.FULFILLMENT_UNIT,BOM_XREF,UFD_BASE.SBOM_EBOM_XREF,SO_BOM_XREF
UFD_BASE.FULFILLMENT_UNIT,WO_ID,UFD_BASE.WORK_ORDER,WO_ID
UFD_GOLF.GCF_WORKORDER_LINE,WORK_ORDER_REF,UFD_GOLF.GCF_WORKORDER_HEADER,WORK_ORDER_REF
DAO_FDL_LOAD.GFX_SHIPMENT_DETAILS,SHIPMENT_HEADER_REF,DAO_FDL_LOAD.GFX_SHIPMENT_HEADER,SHIPMENT_HEADER_REF
GSMADMIN_INTERNAL.GLOBAL_TABLE,FAMILY_ID,GSMADMIN_INTERNAL.TABLE_FAMILY,FAMILY_ID
UFD_GOLF.GOLF_CHANNEL_STATUS,GOLF_CHANNEL_STATUS_CODE,UFD_GOLF.GOLF_CHANNEL_STATUS,GOLF_CHANNEL_STATUS_CODE
UFD_GOLF.GOLF_PURCHASE_ORDER_LINE,GOLF_PO_REF,UFD_GOLF.GOLF_PURCHASE_ORDER,GOLF_PO_REF
UFD_GOLF.GOLF_WORK_ORDER,GOLF_CHANNEL_STATUS_CODE,UFD_GOLF.GOLF_CHANNEL_STATUS,GOLF_CHANNEL_STATUS_CODE
UFD_GOLF.GRP_AUTH_MAP,APP_ID,UFD_GOLF.GRP_REMOTE_APP_CONFIG,APP_ID
UFD_GOLF.GRP_AUTH_MAP,ROLE_ID,UFD_GOLF.GRP_USER_ROLE,ROLE_ID
UFD_GOLF.GRP_AUTH_MAP,USER_ID,UFD_GOLF.GRP_USER_CONFIG,USER_ID
UFD_GOLF.GRP_JOB_TABLE,REF_ID,UFD_GOLF.GRP_REF_TABLE,REF_ID
UFD_GOLF.GRP_LEG_ATTRIB_COND_EVALUATOR,LEG_ATTRIBUTE_ID,UFD_GOLF.GRP_LEG_ATTRIBUTE_EVALUATOR,LEG_ATTRIBUTE_ID
UFD_GOLF.GRP_LEG_STRUCTURE_LOG,RESPONSE_LOG_REF,UFD_GOLF.GRP_REQ_RESP_LOG,REQUEST_ID
UFD_GOLF.GRP_REQ_RESP_LOG,GRP_RESPONSE_REF,UFD_GOLF.GRP_PAYLOAD_LOG,GRP_PLD_REF
UFD_GOLF.GRP_REQ_RESP_LOG,INPUT_MSG_REF,UFD_GOLF.GRP_PAYLOAD_LOG,GRP_PLD_REF
UFD_GOLF.GRP_REQ_RESP_LOG,RPSE_REQUEST_REF,UFD_GOLF.GRP_PAYLOAD_LOG,GRP_PLD_REF
UFD_GOLF.GRP_REQ_RESP_LOG,RPSE_RESPONSE_REF,UFD_GOLF.GRP_PAYLOAD_LOG,GRP_PLD_REF
UFD_GOLF.GRP_RPSE_STATE_LOG,MESSAGE_REF,UFD_GOLF.GRP_PAYLOAD_LOG,GRP_PLD_REF
UFD_GOLF.GRP_RULE_FACT_ATTRIBUTES,ATTRIBUTE_TYPE_FACT_ID,UFD_GOLF.GRP_RULE_FACT_CONFIG,FACT_ID
UFD_GOLF.GRP_RULE_FACT_ATTRIBUTES,FACT_ID,UFD_GOLF.GRP_RULE_FACT_CONFIG,FACT_ID
UFD_GOLF.GRP_RULE_FACT_ATTRIBUTE_CNDTN,FACT_ATTRIBUTE_ID,UFD_GOLF.GRP_RULE_FACT_ATTRIBUTES,FACT_ATTRIBUTE_ID
UFD_GOLF.GRP_RULE_GROUP_FACT_TYPE,FACT_ID,UFD_GOLF.GRP_RULE_FACT_CONFIG,FACT_ID
UFD_GOLF.GRP_STAGING_RG_FACT_TYPE,FACT_CONFIG_SEQ,UFD_GOLF.GRP_STAGING_RULE_FACT_CONFIG,FACT_CONFIG_SEQ
UFD_GOLF.GRP_STAGING_RG_FACT_TYPE,RG_INFO_SEQ,UFD_GOLF.GRP_STAGING_RG_INFO,RG_INFO_SEQ
UFD_GOLF.GRP_STAGING_RULE_DETAILS,REF_ID,UFD_GOLF.GRP_REF_TABLE,REF_ID
UFD_GOLF.GRP_STAGING_RULE_FACTATTR_CND,FACT_ATTRIBUTE_ID,UFD_GOLF.GRP_STAGING_RULE_FACT_ATTRS,FACT_ATTRIBUTE_ID
UFD_GOLF.GRP_STAGING_RULE_FACT_ATTRS,FACT_CONFIG_SEQ,UFD_GOLF.GRP_STAGING_RULE_FACT_CONFIG,FACT_CONFIG_SEQ
UFD_GOLF.GRP_USER_APP_MAPPING,APP_ID,UFD_GOLF.GRP_REMOTE_APP_CONFIG,APP_ID
UFD_GOLF.GRP_USER_APP_MAPPING,USER_ID,UFD_GOLF.GRP_USER_CONFIG,USER_ID
GSMADMIN_INTERNAL.GSM,REGION_NUM,GSMADMIN_INTERNAL.REGION,NUM
GSMADMIN_INTERNAL.GSM_REQUESTS,PARENT_REQUEST,GSMADMIN_INTERNAL.GSM_REQUESTS,CHANGE_SEQ#
UFD_BASE.HOLIDAY,HUB_CODE,UFD_BASE.HUB_SHIPVIA,SHIPVIA_CODE
UFD_BASE.HOLIDAY,HUB_CODE,UFD_BASE.HUB_SHIPVIA,HUB_CODE
UFD_BASE.HOLIDAY,SHIPVIA_CODE,UFD_BASE.HUB_SHIPVIA,HUB_CODE
UFD_BASE.HOLIDAY,SHIPVIA_CODE,UFD_BASE.HUB_SHIPVIA,SHIPVIA_CODE
SYS.HS$_CLASS_CAPS,CAP_NUMBER,SYS.HS$_BASE_CAPS,CAP_NUMBER
SYS.HS$_CLASS_CAPS,FDS_CLASS_ID,SYS.HS$_FDS_CLASS,FDS_CLASS_ID
SYS.HS$_CLASS_DD,DD_TABLE_ID,SYS.HS$_BASE_DD,DD_TABLE_ID
SYS.HS$_CLASS_DD,FDS_CLASS_ID,SYS.HS$_FDS_CLASS,FDS_CLASS_ID
SYS.HS$_CLASS_INIT,FDS_CLASS_ID,SYS.HS$_FDS_CLASS,FDS_CLASS_ID
SYS.HS$_FDS_INST,FDS_CLASS_ID,SYS.HS$_FDS_CLASS,FDS_CLASS_ID
SYS.HS$_INST_CAPS,CAP_NUMBER,SYS.HS$_BASE_CAPS,CAP_NUMBER
SYS.HS$_INST_CAPS,FDS_INST_ID,SYS.HS$_FDS_INST,FDS_INST_ID
SYS.HS$_INST_DD,DD_TABLE_ID,SYS.HS$_BASE_DD,DD_TABLE_ID
SYS.HS$_INST_DD,FDS_INST_ID,SYS.HS$_FDS_INST,FDS_INST_ID
SYS.HS$_INST_INIT,FDS_INST_ID,SYS.HS$_FDS_INST,FDS_INST_ID
SYS.HS$_PARALLEL_HISTOGRAM_DATA,DBLINK,SYS.HS$_PARALLEL_METADATA,DBLINK
SYS.HS$_PARALLEL_HISTOGRAM_DATA,DBLINK,SYS.HS$_PARALLEL_METADATA,REMOTE_SCHEMA_NAME
SYS.HS$_PARALLEL_HISTOGRAM_DATA,DBLINK,SYS.HS$_PARALLEL_METADATA,REMOTE_TABLE_NAME
SYS.HS$_PARALLEL_HISTOGRAM_DATA,REMOTE_SCHEMA_NAME,SYS.HS$_PARALLEL_METADATA,DBLINK
SYS.HS$_PARALLEL_HISTOGRAM_DATA,REMOTE_SCHEMA_NAME,SYS.HS$_PARALLEL_METADATA,REMOTE_SCHEMA_NAME
SYS.HS$_PARALLEL_HISTOGRAM_DATA,REMOTE_SCHEMA_NAME,SYS.HS$_PARALLEL_METADATA,REMOTE_TABLE_NAME
SYS.HS$_PARALLEL_HISTOGRAM_DATA,REMOTE_TABLE_NAME,SYS.HS$_PARALLEL_METADATA,REMOTE_SCHEMA_NAME
