REGION,PROCESSDAY,PROCESSDAY_HOUR,ORDER_COUNT,FISCALYEAR,FISCALQUARTER,FISCALMONTH,FISCALWEEK,DAYNUM
EMEA,20240209,08,487,FY25,Q1,M01,WK01,Friday   
DAO,20240209,08,103,FY25,Q1,M01,WK01,Friday   
APJ,20240209,08,822,FY25,Q1,M01,WK01,Friday   
APJ,20240209,09,487,FY25,Q1,M01,WK01,Friday   
DAO,20240209,09,75,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,09,682,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,10,849,FY25,Q1,M01,WK01,Friday   
APJ,20240209,10,215,FY25,Q1,M01,WK01,Friday   
DAO,20240209,10,119,FY25,Q1,M01,WK01,Friday   
DAO,20240209,11,268,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,11,928,FY25,Q1,M01,WK01,Friday   
APJ,20240209,11,320,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,12,862,FY25,Q1,M01,WK01,Friday   
APJ,20240209,12,213,FY25,Q1,M01,WK01,Friday   
DAO,20240209,12,576,FY25,Q1,M01,WK01,Friday   
APJ,20240209,13,259,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,13,858,FY25,Q1,M01,WK01,Friday   
DAO,20240209,13,767,FY25,Q1,M01,WK01,Friday   
APJ,20240209,14,233,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,14,1011,FY25,Q1,M01,WK01,Friday   
DAO,20240209,14,1659,FY25,Q1,M01,WK01,Friday   
APJ,20240209,15,81,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,15,982,FY25,Q1,M01,WK01,Friday   
DAO,20240209,15,3907,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,16,737,FY25,Q1,M01,WK01,Friday   
DAO,20240209,16,2868,FY25,Q1,M01,WK01,Friday   
APJ,20240209,16,32,FY25,Q1,M01,WK01,Friday   
DAO,20240209,17,1917,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,17,494,FY25,Q1,M01,WK01,Friday   
APJ,20240209,17,50,FY25,Q1,M01,WK01,Friday   
DAO,20240209,18,2179,FY25,Q1,M01,WK01,Friday   
APJ,20240209,18,20,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,18,338,FY25,Q1,M01,WK01,Friday   
APJ,20240209,19,14,FY25,Q1,M01,WK01,Friday   
EMEA,20240209,19,577,FY25,Q1,M01,WK01,Friday   
DAO,20240209,19,2732,FY25,Q1,M01,WK01,Friday   
DAO,20240209,20,2874,FY25,Q1,M01,WK01,Friday   
