REGION,FORECAST_DATE,MODEL1,MODEL2,MODEL3,MODEL4,MODEL5,ACTUALORDERUNIT,CREATED_DATE,UPDATED_DATE
EMEA,8/20/2024 0:00,126,141,40,17,,,16-08-2024,16-08-2024
APJ,8/20/2024 0:00,205,207,247,441,,,16-08-2024,16-08-2024
DAO,8/19/2024 23:00,1141,1106,1415,1670,,,16-08-2024,16-08-2024
EMEA,8/19/2024 23:00,96,111,38,129,,,16-08-2024,16-08-2024
APJ,8/19/2024 23:00,126,134,79,54,,,16-08-2024,16-08-2024
DAO,8/19/2024 22:00,1552,1530,2009,1715,,,16-08-2024,16-08-2024
EMEA,8/19/2024 22:00,131,139,33,186,,,16-08-2024,16-08-2024
APJ,8/19/2024 22:00,110,114,31,37,,,16-08-2024,16-08-2024
DAO,8/19/2024 21:00,2800,2787,2626,1736,,,16-08-2024,16-08-2024
EMEA,8/19/2024 21:00,130,132,94,252,,,16-08-2024,16-08-2024
APJ,8/19/2024 21:00,13,13,6,24,,,16-08-2024,16-08-2024
DAO,8/19/2024 20:00,2342,2281,2921,1731,,,16-08-2024,16-08-2024
EMEA,8/19/2024 20:00,198,201,143,326,,,16-08-2024,16-08-2024
APJ,8/19/2024 20:00,63,66,6,17,,,16-08-2024,16-08-2024
DAO,8/19/2024 19:00,2620,2663,2935,1695,,,16-08-2024,16-08-2024
EMEA,8/19/2024 19:00,181,180,197,405,,,16-08-2024,16-08-2024
APJ,8/19/2024 19:00,62,59,6,18,,,16-08-2024,16-08-2024
DAO,8/19/2024 18:00,2331,2333,2874,1628,,,16-08-2024,16-08-2024
EMEA,8/19/2024 18:00,292,291,295,484,,,16-08-2024,16-08-2024
APJ,8/19/2024 18:00,68,69,8,28,,,16-08-2024,16-08-2024
DAO,8/19/2024 17:00,2321,2325,2847,1531,,,16-08-2024,16-08-2024
EMEA,8/19/2024 17:00,368,367,434,557,,,16-08-2024,16-08-2024
APJ,8/19/2024 17:00,17,17,12,50,,,16-08-2024,16-08-2024
DAO,8/19/2024 16:00,3075,3116,2857,1407,,,16-08-2024,16-08-2024
EMEA,8/19/2024 16:00,563,580,634,620,,,16-08-2024,16-08-2024
APJ,8/19/2024 16:00,41,42,36,83,,,16-08-2024,16-08-2024
DAO,8/19/2024 15:00,1999,2016,2789,1262,,,16-08-2024,16-08-2024
EMEA,8/19/2024 15:00,420,426,810,669,,,16-08-2024,16-08-2024
APJ,8/19/2024 15:00,57,62,67,127,,,16-08-2024,16-08-2024
DAO,8/19/2024 14:00,2061,2075,2119,1103,,,16-08-2024,16-08-2024
EMEA,8/19/2024 14:00,590,592,883,699,,,16-08-2024,16-08-2024
APJ,8/19/2024 14:00,78,78,131,181,,,16-08-2024,16-08-2024
DAO,8/19/2024 13:00,1399,1399,1400,938,,,16-08-2024,16-08-2024
EMEA,8/19/2024 13:00,702,700,839,707,,,16-08-2024,16-08-2024
APJ,8/19/2024 13:00,131,132,162,243,,,16-08-2024,16-08-2024
DAO,8/19/2024 12:00,504,494,698,777,,,16-08-2024,16-08-2024
EMEA,8/19/2024 12:00,456,426,800,694,,,16-08-2024,16-08-2024
APJ,8/19/2024 12:00,84,81,190,310,,,16-08-2024,16-08-2024
DAO,8/19/2024 11:00,435,456,264,627,,,16-08-2024,16-08-2024
EMEA,8/19/2024 11:00,523,535,800,659,,,16-08-2024,16-08-2024
APJ,8/19/2024 11:00,193,198,254,378,,,16-08-2024,16-08-2024
DAO,8/19/2024 10:00,134,132,151,498,,,16-08-2024,16-08-2024
EMEA,8/19/2024 10:00,690,692,821,605,,,16-08-2024,16-08-2024
